timestamp,test-class,test-method,time,description,result
2021-09-07 19:58:34.981,acme.testing.anonymous.AnonymousShoutListTest,listAll,2090,"[1] recordIndex=0, author=John Doe, text=I'm happy!",OK
2021-09-07 19:58:36.779,acme.testing.anonymous.AnonymousShoutListTest,listAll,1338,"[2] recordIndex=1, author=Juan Doe, text=Estoy feliz!",OK
2021-09-07 19:58:38.67,acme.testing.anonymous.AnonymousShoutListTest,listAll,1410,"[3] recordIndex=2, author=John Doe Again, text=I'm still happy!",OK
2021-09-07 19:58:40.836,acme.testing.anonymous.AnonymousShoutListTest,listAll,1651,"[4] recordIndex=3, author=I am not John Doe, text=I'm not happy!",OK
2021-09-07 19:59:02.394,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutPositive,4825,"[1] recordIndex=0, author=John Du, text=You're fired!, info=http://www.example.org",OK
2021-09-07 19:59:06.892,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutPositive,4006,"[2] recordIndex=0, author=Lewis Pill, text=I'm sad!, info=http://www.example.org",OK
2021-09-07 19:59:12.456,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutPositive,5130,"[3] recordIndex=0, author=Cataline Poumonce, text=Shout!, info=http://www.example.org",OK
2021-09-07 19:59:16.366,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutPositive,3391,"[4] recordIndex=0, author=Carlos Tuitomne, text=Ey!, info=http://www.example.org",OK
2021-09-07 19:59:21.212,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutPositive,4382,"[5] recordIndex=0, author=Ricar Mow, text=Wow!, info=http://www.example.org",OK
2021-09-07 19:59:23.593,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutNegative,2073,"[1] recordIndex=0, author=null, text=You're fired!, info=http://www.example.org",OK
2021-09-07 19:59:26.377,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutNegative,2196,"[2] recordIndex=0, author=Lewis Pill, text=null, info=http://www.example.org",OK
2021-09-07 19:59:29.017,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutNegative,2090,"[3] recordIndex=0, author=null, text=null, info=http://www.example.org",OK
2021-09-07 19:59:31.512,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutNegative,2052,"[4] recordIndex=0, author=sex, text=null, info=http://www.example.org",OK
2021-09-07 19:59:34.083,acme.testing.anonymous.AnonymousShoutCreateTest,createShoutNegative,2128,"[5] recordIndex=0, author=Test, text=sexTextsex, info=http://www.example.org",OK
2021-09-07 19:59:56.73,acme.testing.spam.SpamShowTest,showPositive,5514,"[1] threshold=10.00, words=sex, hardcore, viagra, cialis, nigeria, you’ve won, million dollar, sexo, duro, viagra, cialis, nigeria, has ganado, 1 millón de dólares, 1 millon de dolares, un millón de dólares , un millon de dolares",OK
2021-09-07 20:00:02.154,acme.testing.spam.SpamShowTest,showNegative,4957,"[1] threshold=12.00, words=this is not what is supposed to be shown, and this another example which should not be marked as spam",OK
2021-09-07 20:00:32.547,acme.testing.spam.SpamShowTest,showNotAuthorised,30073,"[1] credentialsUsername=anonymous, credentialsPassword=anonymous",Cannot find 'By.className: text-danger'
2021-09-07 20:01:05.552,acme.testing.spam.SpamShowTest,showNotAuthorised,32668,"[2] credentialsUsername=manager, credentialsPassword=manager",Cannot find 'By.className: text-danger'
2021-09-07 20:01:36.414,acme.testing.spam.SpamShowTest,showNotAuthorised,30383,"[3] credentialsUsername=authenticated1, credentialsPassword=authenticated1",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li/a[normalize-space()='Sign in']'
2021-09-07 20:02:00.767,acme.testing.spam.SpamUpdateTest,updatePositive,7763,"[1] threshold=40.50, words=dick, cunt, you’ve won, an Iphone 12, pene, vagina, has ganado, un Iphone 12",OK
2021-09-07 20:02:07.518,acme.testing.spam.SpamUpdateTest,updateNegative,6348,"[1] threshold=-1.00, words=",OK
2021-09-07 20:02:13.952,acme.testing.spam.SpamUpdateTest,updateNegativeTwo,6059,"[1] threshold=101., words=null",OK
2021-09-07 20:02:44.567,acme.testing.spam.SpamUpdateTest,updateNotAuthorised,30090,"[1] threshold=threshold=15.00, words=anonymous person tries to change something he is not allowed to, security kicking in, credentialsUsername=anonymous, credentialsPassword=anonymous",Cannot find 'By.className: text-danger'
2021-09-07 20:03:17.556,acme.testing.spam.SpamUpdateTest,updateNotAuthorised,32639,"[2] threshold=threshold=50.00, words=this is an illegal action, must be declined at all costs, credentialsUsername=manager, credentialsPassword=manager",Cannot find 'By.className: text-danger'
2021-09-07 20:03:48.453,acme.testing.spam.SpamUpdateTest,updateNotAuthorised,30383,"[3] threshold=threshold=70.00, words=this is dummy authenticated user, he is not allowed to make these words count as spam, credentialsUsername=authenticated1, credentialsPassword=authenticated1",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li/a[normalize-space()='Sign in']'
2021-09-07 20:04:09.27,acme.testing.administrator.task.AdministratorTaskListSortedByExecutionPeriodService,list,4512,"[1] recordIndex=0, title=Customize your webpage, description=Try some cool stuff, startExecution=2021/07/03 12:33, endExecution=2022/02/11 10:46, info=http://www.example.org, workload=98.59, isFinished=true, newFinished=Yes, isPrivate=true, newStatus=Private",Expected value 'Customize your webpage' in attribute 0 of record 0, but found 'Test2'
2021-09-07 20:04:14.925,acme.testing.administrator.task.AdministratorTaskListSortedByExecutionPeriodService,list,5268,"[2] recordIndex=1, title=Test1, description=Another test, startExecution=2021/07/05 15:33, endExecution=2022/01/11 09:46, info=http://www.example.org, workload=80.59, isFinished=true, newFinished=Yes, isPrivate=true, newStatus=Private",Expected value 'Test1' in attribute 0 of record 1, but found 'Customize your webpage'
2021-09-07 20:04:20.772,acme.testing.administrator.task.AdministratorTaskListSortedByExecutionPeriodService,list,5430,"[3] recordIndex=2, title=Test2, description=Another test, startExecution=2021/07/18 16:33, endExecution=2022/02/15 08:46, info=http://www.example.org, workload=89.59, isFinished=true, newFinished=Yes, isPrivate=true, newStatus=Private",Expected value 'Test2' in attribute 0 of record 2, but found 'Test1'
2021-09-07 20:04:54.542,acme.testing.administrator.task.AdministratorTaskListSortedByExecutionPeriodService,listNegative,33330,"[1] id=8",Cannot find 'By.className: text-danger'
2021-09-07 20:05:20.331,acme.testing.administrator.task.AdministratorTaskListByWorkloadTests,listMyTask,8638,"[1] recordIndex=0, title=Test1, description=Another test, startExecution=2021/07/05 15:33, endExecution=2022/01/11 09:46, workload=80.59, info=http://www.example.org, finished=true, status=true",Expected value '2021/07/05 15:33' in input box 'startExecution', but '2022/07/05 15:33' was found
2021-09-07 20:05:28.536,acme.testing.administrator.task.AdministratorTaskListByWorkloadTests,listMyTask,7558,"[2] recordIndex=1, title=Test2, description=Another test, startExecution=2021/07/18 16:33, endExecution=2022/02/15 08:46, workload=89.59, info=http://www.example.org, finished=true, status=true",Expected value '2021/07/18 16:33' in input box 'startExecution', but '2022/07/18 16:33' was found
2021-09-07 20:05:34.804,acme.testing.administrator.task.AdministratorTaskListByWorkloadTests,listMyTask,5976,"[3] recordIndex=2, title=Customize your webpage, description=Try some cool stuff, startExecution=2021/07/03 12:33, endExecution=2022/02/11 10:46, workload=98.59, info=http://www.example.org, finished=true, status=true",Expected value '2021/07/03 12:33' in input box 'startExecution', but '2022/07/03 12:33' was found
2021-09-07 20:06:08.222,acme.testing.administrator.task.AdministratorTaskListByWorkloadTests,listMyTaskNegative,32994,"[1] id=8",Cannot find 'By.className: text-danger'
2021-09-07 20:06:56.991,acme.testing.administrator.task.AdministratorTaskShowTests,showNegative,32553,"[1] id=11",Cannot find 'By.className: text-danger'
2021-09-07 20:07:27.923,acme.testing.administrator.task.AdministratorTaskShowTests,showNegative,30423,"[2] id=12",Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li/a[normalize-space()='Sign in']'
2021-09-07 20:08:01.331,acme.testing.administrator.task.AdministratorTaskShowTests,showNegative,32895,"[3] id=13",Cannot find 'By.className: text-danger'
2021-09-07 20:08:24.1,acme.testing.administrator.task.AdministratorTaskListTest,list,5624,"[1] recordIndex=0, title=Customize your webpage, description=Try some cool stuff, startExecution=2021/07/03 12:33, endExecution=2022/02/11 10:46, info=http://www.example.org, workload=98.59, isFinished=true, newFinished=Yes, isPrivate=true, newStatus=Private",Expected value '2021/07/03 12:33' in input box 'startExecution', but '2022/07/03 12:33' was found
2021-09-07 20:08:29.38,acme.testing.administrator.task.AdministratorTaskListTest,list,4800,"[2] recordIndex=1, title=Test1, description=Another test, startExecution=2021/07/05 15:33, endExecution=2022/01/11 09:46, info=http://www.example.org, workload=80.59, isFinished=true, newFinished=Yes, isPrivate=true, newStatus=Private",Expected value '2021/07/05 15:33' in input box 'startExecution', but '2022/07/05 15:33' was found
